country,region,income_group,year,population,gdp_usd,total_electricity_generation_twh,electricity_demand_twh,solar_electricity_twh,wind_electricity_twh,renewables_electricity_twh,hydro_electricity_twh,nuclear_electricity_twh,fossil_electricity_twh,solar_share_pct,wind_share_pct,renewables_share_pct,fossil_share_pct,low_carbon_share_pct,carbon_intensity_gco2_kwh,co2_saved_solar_wind_mt,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct,difference,indicator
Algeria,Africa,1,2019,43294551.0,0.14485699099948246,0.1020681347930408,0.09421490573836783,0.11192118226600985,0.0005915847075353101,0.004471427194757637,0.001279959041310678,0.0,0.18696341552112883,0.23387096774193547,0.001538732789434035,0.011752027803577977,0.9893092105263158,0.01069078947368421,0.5397028620202181,0.026348291477974475,0.3943333333333333,0.375,0.5025510204081634,0.14000000000000057,2
Algeria,Africa,1,2020,44042094.0,0.13645758047083506,0.09858659646600547,0.09110939381413656,0.12926108374384235,0.0005915847075353101,0.004522822909639909,0.00042665301377022604,0.0,0.18172667103062043,0.2776881720430107,0.0016669605218868713,0.012226077705598476,0.9888779685494224,0.011122031450577665,0.5395606056564686,0.030465212021407985,0.47833333333333333,0.375,0.41751700680272114,0.060000000000002274,2
Algeria,Africa,1,2021,44761099.0,0.14177160835280056,0.10826962493807252,0.09849936200420539,0.1245320197044335,0.0005915847075353101,0.004163052905464007,8.533060275404521e-05,0.0,0.196389555604044,0.24811827956989246,0.001538732789434035,0.010429097844450999,0.9905126765083441,0.009487323491655968,0.5403785797480283,0.029641827912721283,0.35033333333333333,0.375,0.2627551020408163,1.1499999999999915,2
Algeria,Africa,1,2022,45477391.0,0.14650837743294587,0.1173931204647232,0.10489729166292258,0.1308374384236453,0.0005915847075353101,0.004420031479875365,0.00017066120550809043,0.0,0.20993526801949236,0.24381720430107526,0.0014105050569811987,0.010362951346494651,0.9905728498074455,0.009427150192554558,0.5404852720208404,0.03128859613009469,0.40900000000000003,0.375,0.5042517006802721,2.569999999999993,2
Algeria,Africa,1,2023,46164222.0,0.14650837743294587,0.12424739904607404,0.11142461765181605,0.13714285714285715,0.0011831694150706202,0.004677010054286723,0.00017066120550809043,0.0,0.22008291512109976,0.24381720430107526,0.0026927823815095613,0.010462171093429173,0.9904825898587934,0.009517410141206675,0.5404497079299031,0.0329353643474681,0.40700000000000003,1.0,0.49744897959183676,2.4399999999999977,2
Algeria,Africa,1,2024,46814302.0,0.14650837743294587,0.1249934429732959,0.11199971245259963,0.1560591133004926,0.0011831694150706202,0.005293758632873984,0.00017066120550809043,0.0,0.2209207942395811,0.27607526881720423,0.0026927823815095613,0.01178510105255615,0.9892791238767651,0.010720876123234916,0.539854009406702,0.03705228489090161,0.467,0.375,0.6232993197278912,2.519999999999996,2
Argentina,South America,2,2000,37213986.0,0.12994161475553362,0.1135230175922598,0.10676634976546917,0.0,0.0017747541226059303,0.14904757315858788,0.24387486267106118,0.07186046511627907,0.12426212815477491,0.0,0.004359742903396433,0.3593077768988869,0.6034880455712452,0.3965119544287548,0.2931548015968277,0.0008233841086867024,0.375,0.9846892138939671,0.8681972789115647,-1.2199999999999989,0
Argentina,South America,2,2001,37624817.0,0.12390732702560718,0.11532595708304597,0.10919612529877973,0.0,0.0029579235376765507,0.190112749349523,0.31213934487429734,0.08209302325581395,0.10631755036729948,0.0,0.007052525284905994,0.4523979483561218,0.5099085365853658,0.49009146341463417,0.24569452224089333,0.0016467682173734047,0.375,0.9846892138939671,0.8681972789115647,-1.75,0
Argentina,South America,2,2002,38029345.0,0.10874498798072314,0.10669982417454321,0.10721204823607644,0.0,0.004141092952747171,0.1869776107417044,0.30531289665397376,0.06767441860465116,0.09770601498290787,0.0,0.010642901793585409,0.47412707293478235,0.49967907573812587,0.5003209242618742,0.2392396397357588,0.002470152326060107,0.375,0.7406307129798904,0.3715986394557823,-5.920000000000002,0
Argentina,South America,2,2003,38424283.0,0.12062321179282097,0.11832567537375052,0.11668673507898569,0.0,0.004732677660282481,0.17865150493077636,0.28841743730867275,0.0880232558139535,0.11481271365190199,0.0,0.011155812723396753,0.416215813973999,0.5389120667522466,0.46108793324775355,0.25840868475100687,0.0032935364347468094,0.375,0.5057129798903108,0.32227891156462585,-5.030000000000001,0
